User,Timestamp,Compound_Score,Pos_Score,Neu_Score,Neg_Score,Tweets_Ago,Tweet_Text
BBCWorld,Sat Oct 06 01:10:04 +0000 2018,-0.3182,0.0,0.723,0.277,1,Have Russian spies lost their touch? https://t.co/vJ5nlHd4Lr
BBCWorld,Sat Oct 06 00:40:35 +0000 2018,-0.6461,0.0,0.652,0.348,2,Brazil elections: Why are there so many murders? https://t.co/2PYVUSTeR4
BBCWorld,Fri Oct 05 23:54:13 +0000 2018,0.0,0.0,1.0,0.0,3,"Romania marriage poll: One man, one woman definition up for vote https://t.co/DYMpDUxWSS"
BBCWorld,Fri Oct 05 23:46:51 +0000 2018,0.0,0.0,1.0,0.0,4,Cameroon election: President Paul Biya seeks seventh term https://t.co/YKeV6jIP3D
BBCWorld,Fri Oct 05 21:21:44 +0000 2018,0.0,0.0,1.0,0.0,5,Susan Collins and Joe Manchin: The political fallout from the Kavanaugh vote https://t.co/nNZWFDg9IR
BBCWorld,Fri Oct 05 20:22:05 +0000 2018,0.5574,0.286,0.714,0.0,6,Brett Kavanaugh: Key senators back embattled Supreme Court pick https://t.co/838cR7aDVg
BBCWorld,Fri Oct 05 20:16:29 +0000 2018,-0.4588,0.0,0.87,0.13,7,"RT @BBC_HaveYourSay: ""It was heartbreaking to watch children left hungry,"" said a mum who discovered her 5-year-old daughter had just 12 mi…"
BBCWorld,Fri Oct 05 20:01:09 +0000 2018,0.0,0.0,1.0,0.0,8,"Senator Susan Collins: ""I will vote to confirm Judge Kavanaugh""

Key moderate Republican explains her decision to s… https://t.co/4Wv5LDZ6QA"
BBCWorld,Fri Oct 05 19:50:43 +0000 2018,0.2732,0.111,0.823,0.066,9,"RT @BBCTheOneShow: 1.5 million people may have been affected by the tsunami in Sulawesi. 
Here’s how you can help the @decappeal https://t.…"
BBCWorld,Fri Oct 05 19:09:13 +0000 2018,0.0,0.0,1.0,0.0,10,"Hundreds of scientists sign statement condemning physics ""built by men"" comments https://t.co/87AlgYImVZ"
BBCWorld,Fri Oct 05 19:00:57 +0000 2018,-0.9169,0.0,0.615,0.385,11,RT @BBCBreaking: Chicago police officer Jason Van Dyke found guilty of second degree murder for killing unarmed black teen in 2014 https://…
BBCWorld,Fri Oct 05 18:44:38 +0000 2018,-0.5719,0.0,0.684,0.316,12,RT @BBCNorthAmerica: Mums' anger at 12-minute school lunchtime https://t.co/TAz7YQhm1U
BBCWorld,Fri Oct 05 18:37:04 +0000 2018,-0.6808,0.157,0.357,0.486,13,Juventus shares drop after Ronaldo rape allegation https://t.co/BRBv6pIAVn
BBCWorld,Fri Oct 05 18:18:59 +0000 2018,0.2263,0.16,0.84,0.0,14,"Michigan meteorite used as doorstop for 30 years 'worth $100,000' https://t.co/pXjn1nTPAy"
BBCWorld,Fri Oct 05 18:18:57 +0000 2018,0.25,0.3,0.7,0.0,15,Laquan McDonald: Verdict reached in Chicago police shooting https://t.co/VfLaiJSOki
BBCWorld,Fri Oct 05 17:52:49 +0000 2018,0.4019,0.172,0.828,0.0,16,Brazil election: Voters debate the merits of democracy as far-right candidate leads polls https://t.co/6KoeWdE1e2
BBCWorld,Fri Oct 05 17:33:20 +0000 2018,-0.3612,0.0,0.783,0.217,17,Kavanaugh confirmation: What Trump's 'elevator screamers' tweet tells us https://t.co/98mOM3brin
BBCWorld,Fri Oct 05 17:30:45 +0000 2018,-0.5423,0.1,0.676,0.224,18,"RT @BBCNews: ""He attacked me first, I was called a liar""

Stormy Daniels tells @BBCNewsnight why she decided to ""kiss and tell"" on Presiden…"
BBCWorld,Fri Oct 05 15:54:23 +0000 2018,0.0,0.0,1.0,0.0,19,"Dough! 😳

https://t.co/NjwqQjlI4J"
BBCWorld,Fri Oct 05 15:32:03 +0000 2018,0.0,0.0,1.0,0.0,20,"Little lady of the lake ⚔ 

Eight-year-old Saga recalls the moment she discovered an ancient sword in the bottom of… https://t.co/GRBife6mM4"
BBCWorld,Sat Oct 06 01:10:04 +0000 2018,-0.3182,0.0,0.723,0.277,21,Have Russian spies lost their touch? https://t.co/vJ5nlHd4Lr
BBCWorld,Sat Oct 06 00:40:35 +0000 2018,-0.6461,0.0,0.652,0.348,22,Brazil elections: Why are there so many murders? https://t.co/2PYVUSTeR4
BBCWorld,Fri Oct 05 23:54:13 +0000 2018,0.0,0.0,1.0,0.0,23,"Romania marriage poll: One man, one woman definition up for vote https://t.co/DYMpDUxWSS"
BBCWorld,Fri Oct 05 23:46:51 +0000 2018,0.0,0.0,1.0,0.0,24,Cameroon election: President Paul Biya seeks seventh term https://t.co/YKeV6jIP3D
BBCWorld,Fri Oct 05 21:21:44 +0000 2018,0.0,0.0,1.0,0.0,25,Susan Collins and Joe Manchin: The political fallout from the Kavanaugh vote https://t.co/nNZWFDg9IR
BBCWorld,Fri Oct 05 20:22:05 +0000 2018,0.5574,0.286,0.714,0.0,26,Brett Kavanaugh: Key senators back embattled Supreme Court pick https://t.co/838cR7aDVg
BBCWorld,Fri Oct 05 20:16:29 +0000 2018,-0.4588,0.0,0.87,0.13,27,"RT @BBC_HaveYourSay: ""It was heartbreaking to watch children left hungry,"" said a mum who discovered her 5-year-old daughter had just 12 mi…"
BBCWorld,Fri Oct 05 20:01:09 +0000 2018,0.0,0.0,1.0,0.0,28,"Senator Susan Collins: ""I will vote to confirm Judge Kavanaugh""

Key moderate Republican explains her decision to s… https://t.co/4Wv5LDZ6QA"
BBCWorld,Fri Oct 05 19:50:43 +0000 2018,0.2732,0.111,0.823,0.066,29,"RT @BBCTheOneShow: 1.5 million people may have been affected by the tsunami in Sulawesi. 
Here’s how you can help the @decappeal https://t.…"
BBCWorld,Fri Oct 05 19:09:13 +0000 2018,0.0,0.0,1.0,0.0,30,"Hundreds of scientists sign statement condemning physics ""built by men"" comments https://t.co/87AlgYImVZ"
BBCWorld,Fri Oct 05 19:00:57 +0000 2018,-0.9169,0.0,0.615,0.385,31,RT @BBCBreaking: Chicago police officer Jason Van Dyke found guilty of second degree murder for killing unarmed black teen in 2014 https://…
BBCWorld,Fri Oct 05 18:44:38 +0000 2018,-0.5719,0.0,0.684,0.316,32,RT @BBCNorthAmerica: Mums' anger at 12-minute school lunchtime https://t.co/TAz7YQhm1U
BBCWorld,Fri Oct 05 18:37:04 +0000 2018,-0.6808,0.157,0.357,0.486,33,Juventus shares drop after Ronaldo rape allegation https://t.co/BRBv6pIAVn
BBCWorld,Fri Oct 05 18:18:59 +0000 2018,0.2263,0.16,0.84,0.0,34,"Michigan meteorite used as doorstop for 30 years 'worth $100,000' https://t.co/pXjn1nTPAy"
BBCWorld,Fri Oct 05 18:18:57 +0000 2018,0.25,0.3,0.7,0.0,35,Laquan McDonald: Verdict reached in Chicago police shooting https://t.co/VfLaiJSOki
BBCWorld,Fri Oct 05 17:52:49 +0000 2018,0.4019,0.172,0.828,0.0,36,Brazil election: Voters debate the merits of democracy as far-right candidate leads polls https://t.co/6KoeWdE1e2
BBCWorld,Fri Oct 05 17:33:20 +0000 2018,-0.3612,0.0,0.783,0.217,37,Kavanaugh confirmation: What Trump's 'elevator screamers' tweet tells us https://t.co/98mOM3brin
BBCWorld,Fri Oct 05 17:30:45 +0000 2018,-0.5423,0.1,0.676,0.224,38,"RT @BBCNews: ""He attacked me first, I was called a liar""

Stormy Daniels tells @BBCNewsnight why she decided to ""kiss and tell"" on Presiden…"
BBCWorld,Fri Oct 05 15:54:23 +0000 2018,0.0,0.0,1.0,0.0,39,"Dough! 😳

https://t.co/NjwqQjlI4J"
BBCWorld,Fri Oct 05 15:32:03 +0000 2018,0.0,0.0,1.0,0.0,40,"Little lady of the lake ⚔ 

Eight-year-old Saga recalls the moment she discovered an ancient sword in the bottom of… https://t.co/GRBife6mM4"
BBCWorld,Fri Oct 05 15:06:07 +0000 2018,0.0,0.0,1.0,0.0,41,Lubna Al Olayan appointed as first woman Saudi bank head https://t.co/buelGGeIgu
BBCWorld,Fri Oct 05 15:01:36 +0000 2018,0.0,0.0,1.0,0.0,42,"Yeas are 51, the nays are 49 - US Senators back motion to move to final vote on Brett Kavanaugh's appointment for S… https://t.co/6UArRlQ9Fg"
BBCWorld,Fri Oct 05 15:01:31 +0000 2018,0.0,0.0,1.0,0.0,43,"RT @BBCNorthAmerica: Utah toddler puts more than $1,000 in the shredder https://t.co/IbXaIrP5wG"
BBCWorld,Fri Oct 05 14:50:10 +0000 2018,0.4019,0.114,0.886,0.0,44,RT @awzurcher: In the key procedural vote to limit Senate debate on Kavanaugh two people crossed party lines - Republican Murkowski voted n…
BBCWorld,Fri Oct 05 14:27:41 +0000 2018,0.0,0.0,1.0,0.0,45,"What's that on Donald Trump's shoe? 🧐 

https://t.co/HJVI3b0aVJ
[Tap to expand] https://t.co/4Agmj3aZc6"
BBCWorld,Fri Oct 05 14:03:03 +0000 2018,-0.836,0.054,0.583,0.363,46,German court sentences a couple who tortured and killed two women they lured with personal ads https://t.co/jCDHv3H0vf
BBCWorld,Fri Oct 05 13:42:05 +0000 2018,0.4898,0.258,0.742,0.0,47,"India signs air defence missile deal with Russia, despite threat of US sanctions https://t.co/fwpDvsqaGO"
BBCWorld,Fri Oct 05 13:38:44 +0000 2018,-0.8074,0.0,0.722,0.278,48,"""At some point, there was rape and nothing else"" - How Nadia Murad became a leading voice in the fight against sexu… https://t.co/esibnJF7hh"
BBCWorld,Fri Oct 05 13:03:01 +0000 2018,0.5574,0.265,0.735,0.0,49,Brett Kavanaugh: First test vote due on Supreme Court nominee https://t.co/hngCvuszUL
BBCWorld,Fri Oct 05 12:49:10 +0000 2018,-0.4767,0.0,0.693,0.307,50,"""I didn't have a choice but to shoot"" 
https://t.co/MRnQztrJc1"
BBCWorld,Fri Oct 05 12:33:31 +0000 2018,0.0,0.0,1.0,0.0,51,"RT @BBCNews: Ed Sheeran, Adele, Michael Jackson and Dua Lipa are among Alexa's most-popular artists 

https://t.co/1EwpNFtjZg"
BBCWorld,Fri Oct 05 12:29:36 +0000 2018,0.0,0.0,1.0,0.0,52,Interpol chief Meng Hongwei vanishes on trip to China https://t.co/VUkl8Hfwm1
BBCWorld,Fri Oct 05 11:55:00 +0000 2018,-0.2023,0.069,0.821,0.11,53,"Indonesia's earthquake allowed inmates to escape from Palu prison, but some escapees have returned

(Tap to expand)… https://t.co/73aS3YcBI8"
BBCWorld,Fri Oct 05 11:42:21 +0000 2018,-0.296,0.0,0.864,0.136,54,"Investigation opens into disappearance of Interpol chief Meng Hongwei, missing since trip to China https://t.co/BmZwB3nNPh"
BBCWorld,Fri Oct 05 11:34:14 +0000 2018,-0.5106,0.108,0.667,0.226,55,"Some chemicals found in certain hair products are linked to cancer, obesity and infertility 😷 https://t.co/S1bidR7Uc5"
BBCWorld,Fri Oct 05 11:25:48 +0000 2018,0.5106,0.21,0.701,0.089,56,"RT @BBCNews: ""I felt pretty much like actually I didn't exist"" - Keira Knightley reveals mental breakdown and PTSD as she struggled with su…"
BBCWorld,Fri Oct 05 11:25:26 +0000 2018,-0.6597,0.0,0.759,0.241,57,"At least 30 workers have died since construction began on Istanbul's controversial new airport project, and now sev… https://t.co/rWnyGsL6iO"
BBCWorld,Fri Oct 05 11:19:15 +0000 2018,0.4717,0.337,0.663,0.0,58,Russia cyber-plots: Dutch defend decision not to arrest suspects https://t.co/kehYYvbpWH
BBCWorld,Fri Oct 05 11:05:28 +0000 2018,0.8979,0.522,0.478,0.0,59,"""Doctor Miracle"" - the life and work of #NobelPeace Prize winner Denis Mukwege https://t.co/I0hHoucAmJ"
